#Nome_da_Administradora;CNPJ_da_Administradora;Data_base;Código_do_segmento;Taxa_de_administração;Quantidade_de_grupos_ativos;Quantidade_de_grupos_constituídos_no_mês;Quantidade_de_grupos_encerrados_no_mês;Quantidade_de_cotas_comercializadas_no_mês;Quantidade_de_cotas_excluídas_a_comercializar;Quantidade_acumulada_de_cotas_ativas_contempladas;Quantidade_de_cotas_ativas_não_contempladas;Quantidade_de_cotas_ativas_contempladas_no_mês;Quantidade_de_cotas_ativas_em_dia;Quantidade_de_cotas_ativas_contempladas_inadimplentes;Quantidade_de_cotas_ativas_não_contempladas_inadimplentes;Quantidade_de_cotas_excluídas;Quantidade_de_cotas_ativas_quitadas;Quantidade_de_cotas_ativas_com_crédito_pendente_de_utilização
ADEMICON ADM CONS S.A.;84911098;202411;1;23,72613;72;0;0;12764;3988;21485;174602;416;168418;2518;25151;139179;2711;4820
ADEMICON ADM CONS S.A.;84911098;202411;2;13,80755;54;0;0;1088;3015;20485;18537;346;35271;1871;1880;18405;8263;2138
ADEMICON ADM CONS S.A.;84911098;202411;3;14,64655;68;1;0;3263;2398;12686;45746;541;50872;975;6585;31455;2926;4125
ADEMICON ADM CONS S.A.;84911098;202411;4;22,87324;1;1;0;42;0;1;70;1;71;0;0;0;0;1
ADEMICON ADM CONS S.A.;84911098;202411;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADEMICON ADM CONS S.A.;84911098;202411;6;22,97877;3;0;0;117;408;684;1294;37;1526;120;332;928;46;237
ADM CONS BECKER LTDA;03828278;202411;1;20,84013;6;0;0;21;1818;689;1674;11;2109;112;142;2976;86;130
ADM CONS BECKER LTDA;03828278;202411;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS BECKER LTDA;03828278;202411;3;18,45492;4;0;0;88;702;500;739;15;1091;55;93;1120;90;71
ADM CONS BECKER LTDA;03828278;202411;4;17,43016;10;0;0;38;1638;2398;1010;45;2951;323;134;2334;969;332
ADM CONS BECKER LTDA;03828278;202411;5;18,78207;13;0;0;157;1201;1643;1560;60;2761;242;200;1601;285;388
ADM CONS BECKER LTDA;03828278;202411;6;17,81962;4;0;0;19;261;348;284;10;529;55;48;328;71;70
ADM CONS NAC HONDA LTDA;45441789;202411;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
