#Nome_da_Administradora;CNPJ_da_Administradora;Data_base;Código_do_grupo;Código_do_segmento;Número_da_assembléia_geral_ordinária;Valor_médio_do_bem;Índice_de_correção;Taxa_de_administração;Prazo_do_grupo_em_meses;Quantidade_de_cotas_ativas_em_dia;Quantidade_de_cotas_ativas_contempladas_inadimplentes;Quantidade_de_cotas_ativas_não_contempladas_inadimplentes;Quantidade_de_cotas_ativas_contempladas_no_mês;Quantidade_de_cotas_excluídas;Quantidade_de_cotas_ativas_quitadas;Quantidade_de_cotas_ativas_com_crédito_pendente_de_utilização
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202411;00057;1;174;230077,01;3;20,83414;200;693;46;2;5;2960;354;102
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202411;00058;1;171;516293,42;3;19,28067;200;578;44;4;9;2125;223;87
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202411;00061;1;170;198722,16;3;21,32703;200;754;46;0;0;2618;351;116
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202411;00062;1;169;249605,15;3;19,86711;200;649;29;6;10;2257;257;114
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202411;00063;1;169;237084,05;3;10,91300;200;575;24;1;0;655;422;18
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202411;00064;1;169;194657,12;3;21,02075;200;760;40;0;6;2889;358;96
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202411;00065;1;168;223556,64;3;10,80283;200;558;41;1;1;769;388;27
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202411;00066;1;167;199308,60;3;20,88833;200;703;47;4;7;2843;294;103
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202411;00067;1;164;248205,58;3;20,57406;200;572;39;2;6;2198;237;77
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202411;00068;1;166;178679,96;3;21,43475;200;746;51;3;7;3359;342;133
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202411;00069;1;166;194211,21;3;20,94259;200;652;38;2;5;3096;272;92
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202411;00070;1;164;187428,41;3;20,53646;200;676;29;2;5;3247;295;102
